name,n_hits,geometry,ba
Riverton,0.0,POINT (149329.90300389996 2609480.900930804),43
Montezuma,1.0,POINT (284221.11651208386 2072475.6140217718),70
Arcadian,1.0,POINT (633869.5115036499 2249783.0201222594),79
Collins,4.0,POINT (634702.2757842243 2063689.1737837223),80
Lehigh,2.0,POINT (154118.5198256942 2153969.6449043434),45
Pontiac Midpoint,0.0,POINT (618326.6331226545 2005387.642291242),80
South Fond du Lac,1.0,POINT (601522.0216632092 2328518.0695642196),76
Arbor Hill,0.0,POINT (144002.57314756632 2052575.2849758335),70
Bugle,0.0,POINT (501833.53639302484 1752057.838710385),81
Denver,1.0,POINT (1066371.8711837798 2228773.473074557),103
Arrowhead,2.0,POINT (284082.14416989876 2647943.4580482226),43
Blackfoot,1.0,POINT (1015579.3156189994 2281288.216322146),103
Nelson Road,0.0,POINT (900920.1261621584 2299257.0780314114),103
Iron Range,1.0,POINT (205272.2468392515 2696083.9032595623),43
Big Stone South,1.0,POINT (-39750.73771761321 2477141.8745373953),38
Greentown,2.0,POINT (846172.3966040723 1984960.455343569),105
MRPD,0.0,POINT (501970.1533986731 1777072.9583259926),81
Sub T,1.0,POINT (369008.648363265 2045103.14387639),70
Reid EHV,3.0,POINT (741240.8140110497 1655893.7671105375),108
Fargo,3.0,POINT (526860.0995251215 1992370.517150385),82
Sioux,6.0,POINT (489876.8771746138 1780087.514809349),72
Schahfer,1.0,POINT (745603.6550466322 2058908.8513519005),105
Bison,4.0,POINT (-82269.91213625862 2662705.377081945),37
Franklin County,0.0,POINT (225574.48202762054 2184388.4096976225),45
Latson,0.0,POINT (984209.8107633743 2254877.374389465),103
North Rochester,1.0,POINT (266071.316724596 2363870.091893923),43
Racine,1.0,POINT (661406.2594512777 2218174.5180103183),79
Marshalltown West,5.0,POINT (249717.60974138355 2120265.599320402),70
South Bloomington,0.0,POINT (589186.378133624 1960462.1440941636),83
Maple River,1.0,POINT (-66869.8688625636 2658869.2786180885),37
Morocco,0.0,POINT (1005623.3831498055 2157806.1780478368),103
Bluemound,0.0,POINT (643338.6358488015 2252826.361993586),79
Pleasant Valley,2.0,POINT (265845.8538695043 2316710.8169451044),68
Ludington,1.0,POINT (763822.7439664629 2360488.513408248),103
Maywood,2.0,POINT (373465.6074333858 1877339.3824834053),71
Reynolds,6.0,POINT (763351.2312965776 2010081.8865573702),105
Burr Oak,2.0,POINT (794947.6221501157 2067947.3464329483),105
Rocky Run,1.0,POINT (506903.8467791807 2407119.7956382385),75
Werner,2.0,POINT (577699.7095745268 2403295.4214212606),76
Sugar Creek,2.0,POINT (650110.4575767241 2212539.536985146),79
Oneida,1.0,POINT (911439.8609499523 2241416.681542935),103
Belleau,1.0,POINT (457252.2677355882 1768262.5709403884),72
Rockdale,1.0,POINT (563856.8693012481 2240788.1280841366),78
Brookings County,1.0,POINT (-42058.04785386744 2377848.6048675156),38
Sorenson,1.0,POINT (887744.83473339 2046968.088019245),105
Alexandria,2.0,POINT (46210.08152671068 2540067.3316535647),43
Oak Creek,0.0,POINT (662810.8231423016 2233607.2961591124),79
Lakefield Junction,0.0,POINT (68771.2354870825 2297816.6364643774),68
Kitty Hawk,0.0,POINT (650774.5832332465 2334479.2422657427),79
Columbia,4.0,POINT (529625.0771917808 2295367.1945724846),76
Duff,0.0,POINT (776284.5970345865 1734447.5434960658),107
North Appleton,1.0,POINT (607026.9287304797 2399819.9373268923),76
Majestic,1.0,POINT (980804.346246788 2215285.351200645),103
Muskego,5.0,POINT (644009.2474018249 2238706.752505431),79
Tittabawassee,1.0,POINT (947952.2639554233 2345798.9643547386),103
Hampton,0.0,POINT (237727.43224273602 2409212.6292776493),43
Waukesha,1.0,POINT (629573.0978916185 2251581.267985761),79
