thermal-mi,thermal-MW,safe-mi,safe-MW,max-mi,max-MW
51.02913933,6619.688805,51.02913933,7255.129821,50.54893708,23246.63154
54.5506225,6619.688805,54.5506225,7093.255958,52.78988091,22758.85738
58.07210566,6619.688805,58.07210566,6934.82622,54.71068991,22304.23291
61.59358883,6592.135807,61.59358883,6767.786169,56.55146521,21844.87277
65.38185102,6641.788606,65.115072,6605.912306,58.07210566,21432.86935
68.63655516,6638.631491,68.63655516,6447.482568,59.99291466,20978.24488
72.15803833,6619.688805,72.15803833,6282.16458,61.91372366,20523.62042
75.67952149,6619.688805,75.67952149,6118.568654,64.31473491,20068.99595
79.20100466,6619.688805,79.20100466,5956.694791,66.23554391,19614.37148
82.72248782,6619.688805,82.72248782,5791.376803,68.15635291,19159.74701
86.24397099,6619.688805,86.24397099,5631.225002,70.07716191,18705.12255
89.76545416,6619.688805,89.76545416,5464.184952,71.83790349,18250.49808
93.28693732,6619.688805,93.28693732,5305.755213,73.43857766,17833.75899
96.80842049,6619.688805,96.80842049,5138.715163,75.35938666,17379.13452
100.3299037,6619.688805,100.3299037,4994.061924,77.28019566,16962.39543
103.8513868,6619.688805,103.8513868,4907.958805,79.68120691,16469.88559
107.37287,6619.688805,107.37287,4830.465998,81.60201591,16015.26112
110.8943532,6619.688805,110.8943532,4752.973191,83.52282491,15560.63665
114.4158363,6619.688805,114.4158363,4673.758322,85.44363391,15118.64064
117.9373195,6619.688805,117.9373195,4597.987578,87.15512398,14633.90216
121.4588026,6619.688805,121.4588026,4520.494771,89.12518449,14158.87788
124.9802858,6619.688805,124.9802858,4443.001964,91.01689032,13721.47404
128.501769,6619.688805,128.501769,4363.787095,93.44700474,13249.62895
132.0232521,6619.688805,132.0232521,4288.01635,95.36781374,12795.00448
135.5447353,6619.688805,135.5447353,4210.523543,97.28862274,12340.38001
139.0662185,6619.688805,139.0662185,4133.030737,99.36949915,11866.81286
142.5877016,6619.688805,142.5877016,4057.259992,102.2507127,11515.51214
146.1091848,6619.688805,146.1091848,3978.045123,105.7721958,11241.70422
149.630668,6619.688805,149.630668,3902.274378,109.293679,10971.34042
153.1521511,6619.688805,153.1521511,3845.44632,112.8151622,10692.36632
156.6736343,6619.688805,156.6736343,3795.506511,116.3366453,10420.28047
160.1951175,6621.410867,160.1951175,3743.84464,119.8581285,10143.02842
163.7166006,6619.688805,163.7166006,3692.182769,123.3796116,9870.942568
167.2380838,6619.688805,167.2380838,3642.24296,126.9010948,9595.412588
170.759567,6619.688805,170.759567,3588.859026,130.422578,9321.60467
174.2810501,6614.522618,174.2810501,3535.475093,133.9440611,9044.352628
177.6424659,6562.860747,177.8025333,3487.257346,137.4655443,8768.822648
182.9246906,6669.628614,181.3240165,3435.595475,140.9870275,8498.458855
186.4461738,6621.410867,184.8454996,3383.933604,144.5085106,8222.928876
189.967657,6619.688805,188.3669828,3333.132764,148.0299938,7945.676833
193.4891401,6619.688805,191.888466,3280.609861,151.551477,7732.141099
197.0106233,6619.688805,195.4099491,3228.94799,155.0729601,7592.654047
200.5321065,6619.688805,198.9314323,3179.008181,158.5944433,7460.055244
204.0535896,6619.688805,202.4529155,3139.400747,162.1159265,7320.568191
