,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
42005,p45089,6,64920,234.0,20137.895,108055.066,-87917.171,17.242,123.627
42006,p45089,6,65297,252.0,5506.897,91131.084,-85624.187,18.308,85.793
42007,p45089,6,65298,240.0,-45177.755,45119.51,-90297.265,1.462,100.91
42008,p45089,6,65299,246.0,12724.02,95953.223,-83229.203,13.892,100.333
42009,p45089,6,65300,246.0,89145.005,113564.875,-24419.87,19.176,111.608
42010,p45089,6,65678,222.0,-17671.464,64727.515,-82398.979,4.436,91.0
42011,p45089,6,65679,240.0,9847.546,95632.161,-85784.615,16.149,94.365
42012,p45091,4,59964,234.0,75882.351,106199.773,-30317.422,10.798,63.562
42013,p45091,4,59965,234.0,372341.895,139921.583,232420.312,21.422,63.562
42014,p45091,4,59966,204.0,1188789.242,145203.895,1043585.347,17.024,23.024
42015,p45091,4,59967,126.0,2110255.806,23466.396,2086789.41,0.996,164.814
42016,p45091,4,60344,240.0,80072.6,137315.77,-57243.17,25.463,84.107
42017,p45091,4,60347,180.0,1330889.716,47012.929,1283876.787,4.659,155.365
42018,p45091,4,60724,234.0,-723.785,69784.196,-70507.981,5.594,109.689
42019,p45091,4,60725,252.0,6918.453,53074.758,-46156.304,2.794,128.705
42020,p45091,4,60726,240.0,244314.283,113965.877,130348.407,19.078,128.528
42021,p45091,4,61104,246.0,-36213.374,62805.701,-99019.074,3.737,112.597
42022,p45091,5,60345,228.0,241301.537,36930.994,204370.542,0.18,129.944
42023,p45091,5,60346,138.0,976155.405,33883.445,942271.96,3.057,144.633
42024,p45091,5,60727,186.0,559340.532,70107.234,489233.299,8.865,157.594
42025,p46003,8,29057,270.0,130688.091,117154.271,13533.82,16.178,183.795
42026,p46003,8,29058,270.0,117863.315,95987.82,21875.495,15.84,162.071
42027,p46003,8,29059,258.0,132305.168,103567.234,28737.934,17.657,154.985
42028,p46003,8,29438,258.0,162678.093,132789.27,29888.822,23.3,162.071
42029,p46003,8,29439,258.0,187304.944,158391.511,28913.433,24.566,124.167
42030,p46003,9,29437,252.0,184105.641,163938.564,20167.077,25.219,178.792
42031,p46003,9,29817,264.0,178429.286,166758.851,11670.436,25.993,188.032
42032,p46003,9,29818,264.0,128594.293,112097.411,16496.883,14.473,188.032
42033,p46003,9,29819,276.0,183600.255,162360.346,21239.909,25.2,123.717
42034,p46003,9,30196,264.0,57172.62,44024.223,13148.397,1.176,277.166
42035,p46003,9,30197,258.0,170726.319,160040.959,10685.361,24.754,202.183
