,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
14816,p21007,2,54585,194.362,104827.257,94220.19,10607.067,21.744,234.801
14817,p21007,2,54586,327.172,75672.104,60957.19,14714.914,10.0,234.801
14818,p21007,2,54965,462.191,87087.615,78783.414,8304.201,9.781,251.724
14819,p21007,2,54966,682.49,64413.507,49411.058,15002.449,2.614,243.964
14820,p21007,2,55345,538.562,43591.573000000004,40043.58,3547.993,0.742,260.465
14821,p21007,2,55346,628.911,70425.072,73250.028,-2824.956,7.434,247.929
14822,p21009,2,53847,443.159,181548.054,175791.161,5756.893,12.754,160.396
14823,p21009,2,53848,165.199,96253.618,66216.511,30037.107,2.263,160.396
14824,p21009,2,54227,462.469,152020.301,140526.101,11494.2,16.798,31.714
14825,p21009,2,54228,248.871,252250.088,116945.075,135305.013,5.867,150.981
14826,p21009,2,54229,363.493,68048.89199999999,66784.328,1264.564,5.329,144.161
14827,p21009,2,54607,330.958,60816.629,43540.262,17276.367,0.435,42.441
14828,p21009,2,54608,259.442,124231.09999999999,69142.911,55088.189,2.682,53.872
14829,p21009,2,54609,312.038,92425.257,90574.063,1851.194,3.216,134.017
14830,p21009,2,54987,268.553,133286.434,117359.846,15926.588,16.768,50.869
14831,p21009,2,54988,443.254,151155.566,152799.19,-1643.624,9.752,55.625
14832,p21009,2,54989,401.719,48363.695,51454.147,-3090.452,1.723,114.867
14833,p21009,2,55368,602.493,71326.365,71490.111,-163.746,4.929,98.343
14834,p21011,1,48921,492.211,128294.045,134167.943,-5873.898,7.586,283.079
14835,p21011,1,48922,341.17,213878.093,232649.995,-18771.902,15.312,323.39
14836,p21011,1,49301,620.803,160588.23,157590.796,2997.434,9.756,277.374
14837,p21011,1,49302,317.28,134342.079,137599.634,-3257.555,5.177,315.121
14838,p21011,1,49303,253.82,51944.057,56559.37,-4615.313,1.927,327.168
