region,year,capacity
p56,2017,5
p6,2017,27.9
p60,2017,100
p61,2017,334.5
p62,2017,150
p63,2017,77
p7,2017,10
p87,2017,154
p9,2017,417.6
p90,2017,97.2
p91,2017,120
p92,2017,16
p96,2017,227.2
p97,2017,196.5
p98,2017,724.6
p99,2017,253.4
p10,2018,622.1
p101,2018,576.9
p102,2018,298
p103,2018,22.9
p107,2018,7.4
p12,2018,20
p123,2018,87
p126,2018,53.5
p127,2018,7.7
p128,2018,24.9
p129,2018,19.6
p131,2018,16.9
p132,2018,40
p21,2018,92
p27,2018,55
p3,2018,19.2
p31,2018,33
p33,2018,50
p43,2018,76.6
p5,2018,46
p50,2018,10
p6,2018,27.9
p60,2018,50
p61,2018,366
p63,2018,40
p64,2018,10
p67,2018,10
p8,2018,8
p85,2018,81
p89,2018,14.7
p9,2018,261
p92,2018,83
p94,2018,31.2
p96,2018,70.8
p97,2018,90.8
p98,2018,525.9
p99,2018,47.8
p10,2019,572.2
p101,2019,469.4
p102,2019,149
p105,2019,13.2
p107,2019,6.5
p111,2019,6.3
p113,2019,12.6
p119,2019,13.5
p12,2019,120.8
p123,2019,12.6
p126,2019,60.8
p127,2019,80
p128,2019,20
p13,2019,300
p131,2019,15
p132,2019,36.9
p133,2019,64.1
p26,2019,57.6
p28,2019,28
p31,2019,100
p33,2019,8.1
p34,2019,35
p41,2019,5
p43,2019,20
p44,2019,5
p46,2019,5
p53,2019,6
p58,2019,20
p6,2019,5.6
p61,2019,100
p62,2019,350
p63,2019,5
p64,2019,7.5
p65,2019,34.5
p7,2019,67.2
p8,2019,7.6
p87,2019,57.5
p9,2019,357.8
p94,2019,412.5
p96,2019,270.6
p97,2019,15
p98,2019,421.8
p99,2019,168.1
p10,2020,863.4
p101,2020,1267.2
p102,2020,223.5
p103,2020,90
p105,2020,9.8
p107,2020,14.2
p12,2020,60
p120,2020,55
p121,2020,7.5
p122,2020,17
p123,2020,7.5
p126,2020,71.4
p127,2020,60
p13,2020,100
p131,2020,15
p132,2020,19.6
p133,2020,5
p134,2020,49.4
p25,2020,279
p28,2020,292.5
p31,2020,55
p33,2020,6
p34,2020,60
p43,2020,5
p5,2020,20
p50,2020,10
p52,2020,20
p58,2020,50
p6,2020,10
p60,2020,465
p61,2020,515
p62,2020,646.8
p63,2020,316.5
p64,2020,10
p67,2020,120
p7,2020,84.9
p75,2020,150
p78,2020,15.8
p85,2020,100
p9,2020,501
p91,2020,74.5
p94,2020,687.4
p95,2020,5
p96,2020,423.2
p97,2020,52
p98,2020,452.9
p99,2020,653.1
p10,2021,352
p101,2021,656.8
p102,2021,372.5
p103,2021,6.9
p105,2021,254.2
p107,2021,67.2
p112,2021,163.5
p114,2021,200
p118,2021,20
p123,2021,26
p126,2021,21.3
p127,2021,115
p13,2021,350
p131,2021,15
p132,2021,70.5
p133,2021,43.4
p134,2021,123.4
p25,2021,340
p28,2021,250
p33,2021,94
p34,2021,240
p5,2021,127.6
p50,2021,2
p56,2021,5
p60,2021,500
p61,2021,1450
p62,2021,250
p63,2021,477.7
p64,2021,144
p65,2021,330
p70,2021,100
p72,2021,10
p75,2021,100
p77,2021,150
p78,2021,22.1
p81,2021,207.9
p83,2021,210
p89,2021,227
p9,2021,455
p91,2021,149
p92,2021,9
p94,2021,653
p96,2021,10
p97,2021,216.9
p98,2021,277.4
p99,2021,866.6
p1,2022,15
p10,2022,1090.415
p101,2022,1021.532
p102,2022,160.668
p103,2022,355.4
p105,2022,214.7
p107,2022,157.9
p109,2022,50
p111,2022,1.4
p112,2022,65
p114,2022,35
p118,2022,20
p12,2022,5
p120,2022,20
p121,2022,37
p122,2022,80
p123,2022,100.8
p125,2022,40.555
p126,2022,53.4
p127,2022,320.3
p128,2022,47.2
p129,2022,5.5
p131,2022,35.048
p133,2022,42.2
p134,2022,96.5
p16,2022,120
p17,2022,80
p2,2022,150
p20,2022,80
p25,2022,81.5
p28,2022,200
p31,2022,102
p34,2022,202.2
p41,2022,8.5
p43,2022,26.169
p44,2022,4
p45,2022,128.6
p5,2022,13.2
p50,2022,255
p52,2022,7.8
p53,2022,3.4
p57,2022,3
p58,2022,73.062
p61,2022,376.6
p62,2022,108
p63,2022,1566.118
p65,2022,730.7
p66,2022,507.838
p67,2022,484.5
p68,2022,3
p69,2022,3
p7,2022,49
p70,2022,28.5
p72,2022,5.7
p75,2022,9.4
p76,2022,150
p77,2022,50
p78,2022,58
p79,2022,3.3
p80,2022,16.8
p81,2022,169
p82,2022,92.4
p83,2022,7.2
p84,2022,8
p87,2022,100
p9,2022,45.441
p90,2022,180
p91,2022,136.1
p92,2022,522.7
p94,2022,360.4
p95,2022,22
p96,2022,302.9
p97,2022,191.6
p98,2022,346.6
p99,2022,824.621
p10,2023,1378.712
p101,2023,657.6
p102,2023,542.4
p103,2023,237.5
p105,2023,1132
p107,2023,9.7
p109,2023,100
p11,2023,131.5
p110,2023,2
p111,2023,302.8
p112,2023,1682.6
p113,2023,196
p114,2023,280
p115,2023,20
p116,2023,115
p118,2023,225
p12,2023,434.8
p122,2023,331.4
p123,2023,48.561
p124,2023,370.839
p125,2023,50
p126,2023,50.2
p127,2023,1764.9
p128,2023,113.7
p129,2023,17.2
p13,2023,402.5
p131,2023,79.19
p132,2023,33.7
p133,2023,56.5
p134,2023,250.8
p21,2023,40
p25,2023,755.152
p26,2023,12.5
p27,2023,0.348
p28,2023,612.764
p31,2023,411.027
p32,2023,80
p33,2023,234
p34,2023,705
p35,2023,230
p36,2023,80
p41,2023,81
p43,2023,97.1
p44,2023,1
p47,2023,270
p48,2023,1635
p49,2023,2
p5,2023,367.8
p52,2023,325
p53,2023,2
p54,2023,10
p58,2023,520
p60,2023,1494
p61,2023,535
p63,2023,952
p64,2023,240
p65,2023,876.3
p66,2023,3330.4
p67,2023,670
p68,2023,3
p7,2023,400
p70,2023,3.9
p75,2023,171.8
p76,2023,249
p77,2023,400
p78,2023,115
p79,2023,75
p80,2023,107.6
p83,2023,28.9
p85,2023,397
p87,2023,96
p88,2023,514.481
p9,2023,899
p90,2023,259.7
p91,2023,745.4
p92,2023,385
p94,2023,616.7
p96,2023,315.253
p97,2023,347.5
p98,2023,377.901
p99,2023,606.5
p10,2024,2037.983
p100,2024,30
p101,2024,985.3
p102,2024,596.8
p103,2024,422
p105,2024,985
p107,2024,300
p109,2024,80
p110,2024,55
p111,2024,775
p112,2024,369.5
p113,2024,330
p115,2024,14
p116,2024,14
p12,2024,400
p120,2024,50
p122,2024,135
p123,2024,1.9
p124,2024,480.1
p125,2024,114
p126,2024,1.4
p127,2024,550.5
p129,2024,20
p13,2024,131
p130,2024,110
p131,2024,11.5
p134,2024,116.1
p2,2024,180
p25,2024,398
p26,2024,75
p28,2024,304.017
p31,2024,700
p33,2024,366.97
p34,2024,253.03
p43,2024,1
p5,2024,2.9
p58,2024,759.599
p60,2024,200
p61,2024,577
p63,2024,2417.6
p65,2024,567.3
p66,2024,3747.301
p67,2024,425
p72,2024,30
p75,2024,300
p80,2024,1135
p83,2024,200
p85,2024,505
p88,2024,431
p9,2024,50
p90,2024,80
p91,2024,447.4
p92,2024,147
p94,2024,318
p97,2024,50
p98,2024,224.4
p99,2024,160
p10,2025,5.1
p101,2025,596
p102,2025,223.5
p103,2025,962
p105,2025,300
p107,2025,200
p12,2025,339
p128,2025,180
p134,2025,100
p91,2025,298
p102,2026,74.5
p91,2026,447
p96,2026,4
p103,2026,2877
p103,2027,5404
p103,2028,7873
p103,2029,9722
p103,2030,11175
p103,2031,12553
p103,2032,13585
p103,2033,14968
p103,2034,16337
p103,2035,16947
p103,2036,17423
p103,2037,17932
p103,2038,18253
p103,2039,18424
p103,2040,18425
p103,2041,18333
p103,2042,18625
p103,2043,18621
p103,2044,18353
p103,2045,18197
