t,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
start2023_50pct2035_100pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1401050900.0,1384946867.0,1368842833.0,1352738800.0,1336634767.0,1320530733.0,1304426700.0,1288322667.0,1272218633.0,1256114600.0,1240010567.0,1223906533.0,1207802500.0,1127282333.0,1046762167.0,966242000.0,885721833.0,805201667.0,724681500.0,644161333.0,563641167.0,483121000.0,402600833.0,322080667.0,241560500.0,161040333.0,80520167.0,0.0
2035_exponential,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1400000000.0,986563325.6,695219425.3,489912848.8,345235749.5,243283520.8,171438999.6,120811021.1,96000000.0,72000000.0,48000000.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035_linear,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1372459458.0,1266885654.0,1161311849.0,1055738045.0,950164240.0,844590436.0,739016631.0,633442827.0,527869022.0,422295218.0,316721413.0,211147609.0,105573804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035_piecewise,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1372459458.0,1215902026.0,1059344593.0,902787161.0,746229729.0,589672297.0,433114864.0,276557432.0,120000000.0,96000000.0,72000000.0,48000000.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035_piecewise_midpoint,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1256114600.0,1159490400.0,1062866200.0,966242000.0,869617800.0,772993600.0,676369400.0,579745200.0,483121000.0,386496800.0,289872600.0,193248400.0,96624200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start2023_80pct2030_100pct2035,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1159490400.0,1062866200.0,966242000.0,869617800.0,772993600.0,676369400.0,579745200.0,483121000.0,386496800.0,289872600.0,193248400.0,96624200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start2022_95pct2035_100pct2045,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1395511233.0,1297455004.0,1199398774.0,1101342545.0,1003286315.0,905230086.0,807173856.0,709117627.0,611061397.0,513005168.0,414948938.0,316892709.0,218836479.0,120780250.0,108702225.0,96624200.0,84546175.0,72468150.0,60390125.0,48312100.0,36234075.0,24156050.0,12078025.0,0.0,0.0,0.0,0.0,0.0,0.0
start2023_90pct2035_100pct2045,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1207802500.0,1127282333.0,1046762167.0,966242000.0,885721833.0,805201667.0,724681500.0,644161333.0,563641167.0,483121000.0,402600833.0,322080667.0,241560500.0,217404450.0,193248400.0,169092350.0,144936300.0,120780250.0,96624200.0,72468150.0,48312100.0,24156050.0,0.0,0.0,0.0,0.0,0.0,0.0
start2024_80pct2030_100pct2035,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,1246003103.0,1118709986.0,991416869.0,864123752.0,736830634.0,609537517.0,482244400.0,385795520.0,289346640.0,192897760.0,96448880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start2024_90pct2035_100pct2045,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,4822444000.0,1278948385.0,1184600550.0,1090252715.0,995904880.0,901557045.0,807209210.0,712861375.0,618513540.0,524165705.0,429817870.0,335470035.0,241122200.0,217009980.0,192897760.0,168785540.0,144673320.0,120561100.0,96448880.0,72336660.0,48224440.0,24112220.0,0.0,0.0,0.0,0.0,0.0,0.0
start2027_100pct2035,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1106792889.0,968443777.8,830094666.7,691745555.6,553396444.4,415047333.3,276698222.2,138349111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start2027_95pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1198285081.0,1151428162.0,1104571244.0,1057714325.0,1010857406.0,964000487.5,917143568.7,870286650.0,823429731.2,776572812.5,729715893.7,682858975.0,636002056.2,589145137.5,542288218.7,495431300.0,448574381.2,401717462.5,354860543.7,308003625.0,261146706.2,214289787.5,167432868.8,120575950.0
start2027_100pct2035_co2eWprecomb,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1411350127.0,1234931361.0,1058512595.0,882093829.3,705675063.5,529256297.6,352837531.7,176418765.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start2027_95pct2050_co2eWprecomb,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1528018312.0,1466825166.0,1405632019.0,1344438873.0,1283245727.0,1222052581.0,1160859435.0,1099666289.0,1038473142.0,977279996.3,916086850.1,854893703.9,793700557.8,732507411.6,671314265.5,610121119.3,548927973.1,487734827.0,426541680.8,365348534.6,304155388.5,242962242.3,181769096.2,120575950.0
