ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transmiso
p1,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,WA,NorthernGrid
p2,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,WA,NorthernGrid
p3,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,WA,NorthernGrid
p4,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,WA,NorthernGrid
p5,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,OR,NorthernGrid
p6,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,OR,NorthernGrid
p7,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,OR,NorthernGrid
p8,WECC_NW,NorthernGrid,NorthernGrid_South,Pacific,CA,western,CA,USA,pacific,California,PacifiCorp_West,CA_NorthernGrid,NorthernGrid
p9,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,CA_N_CAISO,CAISO
p10,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,CA_S_CAISO,CAISO
p11,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,CA_S_CAISO,CAISO
p12,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,Mountain,Nevada_Power_Co,NV,NorthernGrid
p13,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,Mountain,Nevada_Power_Co,NV,NorthernGrid
p14,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,ID,NorthernGrid
p15,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,ID,NorthernGrid
p16,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,ID,NorthernGrid
p17,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,MT_NorthernGrid,NorthernGrid
p18,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,MT_NorthernGrid,NorthernGrid
p19,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,MT_NorthernGrid,NorthernGrid
p20,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,MT_NorthernGrid,NorthernGrid
p21,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,Mountain,PacifiCorp_East,WY_NorthernGrid,NorthernGrid
p22,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,Mountain,PacifiCorp_East,WY_NorthernGrid,NorthernGrid
p23,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,WY,USA,mountain,Mountain,WAPA_Rocky_Mountain_Region,WY_WestConnect,WestConnect
p24,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,WY,USA,mountain,Mountain,WAPA_Rocky_Mountain_Region,WY_WestConnect,WestConnect
p25,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,Mountain,PacifiCorp_East,UT,NorthernGrid
p26,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,Mountain,PacifiCorp_East,UT,NorthernGrid
p27,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,WestConnect
p28,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,WestConnect
p29,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,WestConnect
p30,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,WestConnect
