,ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transmiso
39,p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,NE,SPP
40,p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,NE,SPP
41,p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,MN,MISO_North
42,p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,MN,MISO_North
43,p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,MN,MISO_North
44,p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,IA,MISO_North
45,p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,WI,MISO_North
46,p47,SPP,SPP,SPP_South,West_South_Central,NM,eastern,NM_eastern,USA,mountain,Southwest,SPP,NM_SPP,SPP
47,p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,TX_SPP_N,SPP
48,p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,OK,SPP
49,p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,OK,SPP
50,p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,OK,SPP
51,p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,KS,SPP
52,p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,KS,SPP
53,p54,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,MO_SPP,SPP
54,p55,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,MO_SPP,SPP
55,p56,SPP,SPP,SPP_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,SPP,AR_SPP,SPP
56,p57,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,TX_SPP_E,SPP
57,p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,LA,MISO_South
58,p59,WECC_SW,WestConnect,WestConnect_South,Mountain,TX,western,TX_western,USA,southern-plains,Texas,El_Paso_Electric,TX_WestConnect,WestConnect
59,p60,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_W_ERCOT,ERCOT
60,p61,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_W_ERCOT,ERCOT
61,p62,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_W_ERCOT,ERCOT
62,p63,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,ERCOT
63,p64,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,ERCOT
64,p65,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,ERCOT
65,p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,MISO,TX_MISO,MISO_South
66,p67,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,ERCOT
67,p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,MN,MISO_North
68,p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,IA,MISO_North
69,p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,IA,MISO_North
70,p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,MO_MISO,MISO_Central
71,p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,MO_MISO,MISO_Central
72,p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,MO_MISO,MISO_Central
73,p74,MISO,MISO,MISO_North,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,MI_MISO,MISO_North
